Gini_Index,Median_Household_Income,Year,State,Region
0.472,38783,2006,Alabama,South
0.417,59393,2006,Alaska,West
0.454,47265,2006,Arizona,West
0.46,36599,2006,Arkansas,South
0.466,56645,2006,California,West
0.45,52015,2006,Colorado,West
0.48,63422,2006,Connecticut,Northeast
0.434,52833,2006,Delaware,South
0.537,51847,2006,District of Columbia,South
0.467,45495,2006,Florida,South
0.461,46832,2006,Georgia,South
0.438,61160,2006,Hawaii,West
0.421,42865,2006,Idaho,West
0.462,52006,2006,Illinois,Midwest
0.432,45394,2006,Indiana,Midwest
0.424,44491,2006,Iowa,Midwest
0.441,45478,2006,Kansas,Midwest
0.46,39372,2006,Kentucky,South
0.475,39337,2006,Louisiana,South
0.428,43439,2006,Maine,Northeast
0.433,65144,2006,Maryland,South
0.461,59963,2006,Massachusetts,Northeast
0.444,47182,2006,Michigan,Midwest
0.43,54023,2006,Minnesota,Midwest
0.471,34473,2006,Mississippi,South
0.449,42841,2006,Missouri,Midwest
0.426,40627,2006,Montana,West
0.43,45474,2006,Nebraska,Midwest
0.434,52998,2006,Nevada,West
0.417,59683,2006,New Hampshire,Northeast
0.458,64470,2006,New Jersey,Northeast
0.457,40629,2006,New Mexico,West
0.495,51384,2006,New York,Northeast
0.458,42625,2006,North Carolina,South
0.434,41919,2006,North Dakota,Midwest
0.449,44532,2006,Ohio,Midwest
0.46,38770,2006,Oklahoma,South
0.444,46230,2006,Oregon,West
0.455,46259,2006,Pennsylvania,Northeast
0.442,51814,2006,Rhode Island,Northeast
0.462,41100,2006,South Carolina,South
0.439,42791,2006,South Dakota,Midwest
0.468,40315,2006,Tennessee,South
0.474,44922,2006,Texas,South
0.41,51309,2006,Utah,West
0.42,47665,2006,Vermont,Northeast
0.456,56277,2006,Virginia,South
0.443,52583,2006,Washington,West
0.447,35059,2006,West Virginia,South
0.424,48772,2006,Wisconsin,Midwest
0.413,47423,2006,Wyoming,West
0.471,40554,2007,Alabama,South
0.409,64333,2007,Alaska,West
0.448,49889,2007,Arizona,West
0.462,38134,2007,Arkansas,South
