Gini_Index,Median_Household_Income,Year,State
0.472,38783,2006,Alabama
0.417,59393,2006,Alaska
0.454,47265,2006,Arizona
0.46,36599,2006,Arkansas
0.466,56645,2006,California
0.45,52015,2006,Colorado
0.48,63422,2006,Connecticut
0.434,52833,2006,Delaware
0.537,51847,2006,District of Columbia
0.467,45495,2006,Florida
0.461,46832,2006,Georgia
0.438,61160,2006,Hawaii
0.421,42865,2006,Idaho
0.462,52006,2006,Illinois
0.432,45394,2006,Indiana
0.424,44491,2006,Iowa
0.441,45478,2006,Kansas
0.46,39372,2006,Kentucky
0.475,39337,2006,Louisiana
0.428,43439,2006,Maine
0.433,65144,2006,Maryland
0.461,59963,2006,Massachusetts
0.444,47182,2006,Michigan
0.43,54023,2006,Minnesota
0.471,34473,2006,Mississippi
0.449,42841,2006,Missouri
0.426,40627,2006,Montana
0.43,45474,2006,Nebraska
0.434,52998,2006,Nevada
0.417,59683,2006,New Hampshire
0.458,64470,2006,New Jersey
0.457,40629,2006,New Mexico
0.495,51384,2006,New York
0.458,42625,2006,North Carolina
0.434,41919,2006,North Dakota
0.449,44532,2006,Ohio
0.46,38770,2006,Oklahoma
0.444,46230,2006,Oregon
0.455,46259,2006,Pennsylvania
0.442,51814,2006,Rhode Island
0.462,41100,2006,South Carolina
0.439,42791,2006,South Dakota
0.468,40315,2006,Tennessee
0.474,44922,2006,Texas
0.41,51309,2006,Utah
0.42,47665,2006,Vermont
0.456,56277,2006,Virginia
0.443,52583,2006,Washington
0.447,35059,2006,West Virginia
0.424,48772,2006,Wisconsin
0.413,47423,2006,Wyoming
0.535,17621,2006,
0.471,40554,2007,Alabama
0.409,64333,2007,Alaska
0.448,49889,2007,Arizona
0.462,38134,2007,Arkansas
0.469,59948,2007,California
0.452,55212,2007,Colorado
0.481,65967,2007,Connecticut
0.435,54610,2007,Delaware
0.542,54317,2007,District of Columbia
0.469,47804,2007,Florida
0.464,49136,2007,Georgia
0.422,63746,2007,Hawaii
0.436,46253,2007,Idaho
0.466,54124,2007,Illinois
0.429,47448,2007,Indiana
0.426,47292,2007,Iowa
0.444,47451,2007,Kansas
0.465,40267,2007,Kentucky
0.478,40926,2007,Louisiana
0.44,45888,2007,Maine
0.442,68080,2007,Maryland
0.467,62365,2007,Massachusetts
0.448,47950,2007,Michigan
0.436,55802,2007,Minnesota
0.48,36338,2007,Mississippi
0.45,45114,2007,Missouri
0.443,43531,2007,Montana
0.429,47085,2007,Nebraska
0.437,55062,2007,Nevada
0.417,62369,2007,New Hampshire
0.464,67035,2007,New Jersey
0.459,41452,2007,New Mexico
0.5,53514,2007,New York
0.465,44670,2007,North Carolina
0.44,43753,2007,North Dakota
0.448,46597,2007,Ohio
0.463,41567,2007,Oklahoma
0.442,48730,2007,Oregon
